Tool:	elog
Version:	2.0
Date:	2025-07-03 14:03:47
System Name:	C:/Users/DELL/OneDrive/Máy tính/Gofa_caffe_1/Virtual Controllers/CRB15000_5_95
RobotWare:	7.18.1
RobotControl:	7.18.1
Controller Name:	CRB15000_5_95
Controller Id:	VIRTUAL_CONTROLLER



Common log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	
210       	I		Common              	10400   	<title>   	1970-01-01 07:01:40:864002	<description>	{args: "Admin", "RobAPI2-Client"}
209       	I		Common              	10400   	<title>   	1970-01-01 07:01:40:789002	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
208       	I		Common              	10150   	<title>   	1970-01-01 07:01:37:501224	<description>	{args: "1", "SC_CBC"}
207       	I		Common              	10150   	<title>   	1970-01-01 07:01:37:501211	<description>	{args: "3", "T_GOFA_LED"}
206       	I		Common              	10129   	<title>   	1970-01-01 07:01:37:501200	<description>	{args: "3", "T_GOFA_LED", "9"}
205       	I		Common              	10129   	<title>   	1970-01-01 07:01:37:501173	<description>	{args: "2", "T_ROB1", "9"}
204       	I		Common              	10150   	<title>   	1970-01-01 07:01:37:501146	<description>	{args: "3", "T_GOFA_LED"}
203       	I		Common              	10155   	<title>   	1970-01-01 07:01:37:501138	<description>	{args: "2", "T_ROB1"}
202       	I		Common              	10002   	<title>   	1970-01-01 07:01:37:501125	<description>	{args: "3", "0", "T_GOFA_LED"}
201       	I		Common              	10002   	<title>   	1970-01-01 07:01:37:501116	<description>	{args: "1", "0", "SC_CBC"}
200       	W		Common              	40210   	<title>   	1970-01-01 07:01:37:501107	<description>	{args: "T_GOFA_LED"}
199       	I		Common              	10017   	<title>   	1970-01-01 07:01:37:501037	<description>	
198       	I		Common              	10010   	<title>   	1970-01-01 07:01:37:501010	<description>	
197       	W		Common              	90526   	<title>   	1970-01-01 07:01:37:068001	<description>	
196       	I		Common              	10045   	<title>   	1970-01-01 07:00:00:060013	<description>	
195       	I		Common              	10056   	<title>   	1970-01-01 07:01:41:730002	<description>	
194       	I		Common              	10401   	<title>   	1970-01-01 07:01:41:227002	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
193       	I		Common              	10401   	<title>   	1970-01-01 07:01:41:212000	<description>	{args: "Admin", "RobAPI2-Client"}
192       	W		Common              	90526   	<title>   	1970-01-01 07:01:34:071001	<description>	
191       	I		Common              	10010   	<title>   	1970-01-01 07:01:33:220038	<description>	
190       	E		Common              	90867   	<title>   	1970-01-01 07:01:33:220010	<description>	
189       	I		Common              	10012   	<title>   	1970-01-01 07:01:30:079046	<description>	
