Tool:	elog
Version:	2.0
Date:	2025-07-03 14:03:47
System Name:	C:/Users/DELL/OneDrive/Máy tính/Gofa_caffe_1/Virtual Controllers/CRB15000_5_95
RobotWare:	7.18.1
RobotControl:	7.18.1
Controller Name:	CRB15000_5_95
Controller Id:	VIRTUAL_CONTROLLER



Common log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	
16        	I		Common              	10129   	<title>   	1970-01-01 07:01:31:842009	<description>	{args: "2", "T_ROB1", "9"}
15        	I		Common              	10150   	<title>   	1970-01-01 07:01:31:763187	<description>	{args: "3", "T_GOFA_LED"}
14        	I		Common              	10129   	<title>   	1970-01-01 07:01:31:763176	<description>	{args: "3", "T_GOFA_LED", "9"}
13        	I		Common              	10002   	<title>   	1970-01-01 07:01:31:763137	<description>	{args: "2", "0", "T_ROB1"}
12        	I		Common              	10150   	<title>   	1970-01-01 07:01:31:763121	<description>	{args: "3", "T_GOFA_LED"}
11        	I		Common              	10150   	<title>   	1970-01-01 07:01:31:763113	<description>	{args: "2", "T_ROB1"}
10        	I		Common              	10015   	<title>   	1970-01-01 07:01:31:763036	<description>	
9         	I		Common              	10012   	<title>   	1970-01-01 07:01:31:763009	<description>	
8         	I		Common              	10040   	<title>   	1970-01-01 07:01:27:306089	<description>	{args: "T_ROB1", "", "91809480", "2856"}
7         	I		Common              	10002   	<title>   	1970-01-01 07:01:27:306018	<description>	{args: "3", "0", "T_GOFA_LED"}
6         	I		Common              	10002   	<title>   	1970-01-01 07:01:27:306010	<description>	{args: "2", "0", "T_ROB1"}
5         	I		Common              	10002   	<title>   	1970-01-01 07:01:27:306002	<description>	{args: "1", "0", "SC_CBC"}
4         	I		Common              	90665   	<title>   	1970-01-01 07:00:09:303000	<description>	
3         	I		Common              	10045   	<title>   	1970-01-01 07:00:00:033013	<description>	
2         	I		Common              	10056   	<title>   	1970-01-01 07:00:07:226021	<description>	
1         	I		Common              	10046   	<title>   	1970-01-01 07:00:00:060010	<description>	

Operational log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	
272       	I		Operational         	10015   	<title>   	1970-01-01 07:00:29:669039	<description>	
269       	I		Operational         	10014   	<title>   	1970-01-01 07:00:29:669010	<description>	
263       	I		Operational         	10045   	<title>   	1970-01-01 07:00:00:033013	<description>	
262       	I		Operational         	10056   	<title>   	1970-01-01 07:12:47:971003	<description>	
261       	I		Operational         	10401   	<title>   	1970-01-01 07:12:47:950001	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
260       	I		Operational         	10401   	<title>   	1970-01-01 07:12:47:934001	<description>	{args: "Admin", "RobAPI2-Client"}
259       	I		Operational         	10149   	<title>   	1970-01-01 07:10:57:114003	<description>	{args: "T_ROB1", "PickPhin", "Default User"}
258       	I		Operational         	10002   	<title>   	1970-01-01 07:10:48:399001	<description>	{args: "2", "0", "T_ROB1"}
257       	I		Operational         	10149   	<title>   	1970-01-01 07:10:45:090003	<description>	{args: "T_ROB1", "PickPhin", "Default User"}
256       	I		Operational         	10002   	<title>   	1970-01-01 07:10:44:946013	<description>	{args: "2", "0", "T_ROB1"}
255       	I		Operational         	10010   	<title>   	1970-01-01 07:09:46:514023	<description>	
253       	I		Operational         	10012   	<title>   	1970-01-01 07:09:42:518019	<description>	
252       	I		Operational         	10400   	<title>   	1970-01-01 07:09:41:946004	<description>	{args: "Admin", "RobAPI2-Client"}
251       	I		Operational         	10400   	<title>   	1970-01-01 07:09:41:931002	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
250       	I		Operational         	10401   	<title>   	1970-01-01 07:09:34:215000	<description>	{args: "Admin", "RobAPI2-Client"}
249       	I		Operational         	10401   	<title>   	1970-01-01 07:09:30:664000	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
248       	I		Operational         	10125   	<title>   	1970-01-01 07:02:13:289017	<description>	{args: "2", "T_ROB1", "17"}
247       	I		Operational         	10151   	<title>   	1970-01-01 07:02:01:838026	<description>	{args: "2", "T_ROB1"}
246       	I		Operational         	10053   	<title>   	1970-01-01 07:02:01:838018	<description>	{args: "0"}
245       	I		Operational         	10052   	<title>   	1970-01-01 07:02:01:481023	<description>	{args: "0"}
244       	I		Operational         	10149   	<title>   	1970-01-01 07:02:01:262003	<description>	{args: "T_ROB1", "main", "Admin"}
243       	I		Operational         	10002   	<title>   	1970-01-01 07:02:01:116015	<description>	{args: "2", "0", "T_ROB1"}
242       	I		Operational         	10011   	<title>   	1970-01-01 07:01:55:742018	<description>	
241       	I		Operational         	10010   	<title>   	1970-01-01 07:01:40:202023	<description>	
239       	I		Operational         	10012   	<title>   	1970-01-01 07:01:36:202012	<description>	
238       	I		Operational         	10011   	<title>   	1970-01-01 07:01:36:192025	<description>	
237       	I		Operational         	10400   	<title>   	1970-01-01 07:01:35:367002	<description>	{args: "Admin", "RobAPI2-Client"}
236       	I		Operational         	10400   	<title>   	1970-01-01 07:01:35:319005	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
235       	I		Operational         	10150   	<title>   	1970-01-01 07:01:33:395224	<description>	{args: "1", "SC_CBC"}
234       	I		Operational         	10150   	<title>   	1970-01-01 07:01:33:395211	<description>	{args: "3", "T_GOFA_LED"}
233       	I		Operational         	10129   	<title>   	1970-01-01 07:01:33:395200	<description>	{args: "3", "T_GOFA_LED", "9"}
232       	I		Operational         	10129   	<title>   	1970-01-01 07:01:33:395173	<description>	{args: "2", "T_ROB1", "9"}
231       	I		Operational         	10150   	<title>   	1970-01-01 07:01:33:395146	<description>	{args: "3", "T_GOFA_LED"}
230       	I		Operational         	10155   	<title>   	1970-01-01 07:01:33:395138	<description>	{args: "2", "T_ROB1"}
229       	I		Operational         	10002   	<title>   	1970-01-01 07:01:33:395125	<description>	{args: "3", "0", "T_GOFA_LED"}
228       	I		Operational         	10002   	<title>   	1970-01-01 07:01:33:395116	<description>	{args: "1", "0", "SC_CBC"}
226       	I		Operational         	10017   	<title>   	1970-01-01 07:01:33:395037	<description>	
225       	I		Operational         	10010   	<title>   	1970-01-01 07:01:33:395010	<description>	
223       	I		Operational         	10045   	<title>   	1970-01-01 07:00:00:060013	<description>	
222       	I		Operational         	10056   	<title>   	1970-01-01 07:04:32:577002	<description>	
221       	I		Operational         	10401   	<title>   	1970-01-01 07:04:32:070002	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
220       	I		Operational         	10401   	<title>   	1970-01-01 07:04:32:046000	<description>	{args: "Admin", "RobAPI2-Client"}
219       	I		Operational         	10010   	<title>   	1970-01-01 07:02:43:412023	<description>	
217       	I		Operational         	10012   	<title>   	1970-01-01 07:02:39:412023	<description>	
215       	I		Operational         	10010   	<title>   	1970-01-01 07:01:45:268040	<description>	
213       	I		Operational         	10012   	<title>   	1970-01-01 07:01:41:768083	<description>	
212       	I		Operational         	10010   	<title>   	1970-01-01 07:01:41:768061	<description>	
211       	I		Operational         	10011   	<title>   	1970-01-01 07:01:41:768030	<description>	
210       	I		Operational         	10400   	<title>   	1970-01-01 07:01:40:864002	<description>	{args: "Admin", "RobAPI2-Client"}
209       	I		Operational         	10400   	<title>   	1970-01-01 07:01:40:789002	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}

System log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	
271       	E		System              	20012   	<title>   	1970-01-01 07:00:29:669031	<description>	{args: "120"}

Hardware log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	
264       	E		Hardware            	34312   	<title>   	1970-01-01 07:00:17:163025	<description>	{args: "rob1_1", "1", "1"}

Program log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	
273       	W		Program             	40210   	<title>   	1970-01-01 07:00:29:669045	<description>	{args: "T_GOFA_LED"}
227       	W		Program             	40210   	<title>   	1970-01-01 07:01:33:395107	<description>	{args: "T_GOFA_LED"}
200       	W		Program             	40210   	<title>   	1970-01-01 07:01:37:501107	<description>	{args: "T_GOFA_LED"}
177       	W		Program             	40210   	<title>   	1970-01-01 07:01:27:180071	<description>	{args: "T_GOFA_LED"}
153       	W		Program             	40210   	<title>   	1970-01-01 07:01:26:778107	<description>	{args: "T_GOFA_LED"}
127       	W		Program             	40210   	<title>   	1970-01-01 07:01:26:307107	<description>	{args: "T_GOFA_LED"}
105       	W		Program             	40210   	<title>   	1970-01-01 07:01:38:235379	<description>	{args: "T_GOFA_LED"}
68        	W		Program             	40210   	<title>   	1970-01-01 07:01:23:937107	<description>	{args: "T_GOFA_LED"}
41        	W		Program             	40210   	<title>   	1970-01-01 07:01:28:010068	<description>	{args: "T_GOFA_LED"}

Motion log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	

Communication log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	
275       	E		Communication       	71391   	<title>   	1970-01-01 07:00:29:669057	<description>	{args: "MechUnitNotMoving"}

UserDef log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	

Safety log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	
254       	W		Safety              	90526   	<title>   	1970-01-01 07:09:46:510001	<description>	
240       	W		Safety              	90526   	<title>   	1970-01-01 07:01:40:198001	<description>	
224       	W		Safety              	90526   	<title>   	1970-01-01 07:01:32:962001	<description>	
218       	W		Safety              	90526   	<title>   	1970-01-01 07:02:43:408001	<description>	
216       	W		Safety              	90526   	<title>   	1970-01-01 07:01:45:760001	<description>	
214       	E		Safety              	90867   	<title>   	1970-01-01 07:01:45:268012	<description>	
197       	W		Safety              	90526   	<title>   	1970-01-01 07:01:37:068001	<description>	
192       	W		Safety              	90526   	<title>   	1970-01-01 07:01:34:071001	<description>	
190       	E		Safety              	90867   	<title>   	1970-01-01 07:01:33:220010	<description>	
174       	W		Safety              	90526   	<title>   	1970-01-01 07:01:26:747001	<description>	
169       	W		Safety              	90526   	<title>   	1970-01-01 07:01:33:669001	<description>	
167       	E		Safety              	90867   	<title>   	1970-01-01 07:01:32:801011	<description>	
150       	W		Safety              	90526   	<title>   	1970-01-01 07:01:26:345001	<description>	
146       	W		Safety              	90526   	<title>   	1970-01-01 07:01:33:366001	<description>	
145       	E		Safety              	90867   	<title>   	1970-01-01 07:01:32:546007	<description>	
124       	W		Safety              	90526   	<title>   	1970-01-01 07:01:25:874001	<description>	
118       	W		Safety              	90526   	<title>   	1970-01-01 07:01:46:358001	<description>	
102       	W		Safety              	90526   	<title>   	1970-01-01 07:01:37:802001	<description>	
85        	W		Safety              	90526   	<title>   	1970-01-01 07:01:30:564001	<description>	
83        	E		Safety              	90867   	<title>   	1970-01-01 07:01:29:719010	<description>	
65        	W		Safety              	90526   	<title>   	1970-01-01 07:01:23:504001	<description>	
59        	W		Safety              	90526   	<title>   	1970-01-01 07:01:34:645001	<description>	
53        	W		Safety              	90526   	<title>   	1970-01-01 07:01:29:889001	<description>	
4         	I		Safety              	90665   	<title>   	1970-01-01 07:00:09:303000	<description>	

Internal log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	
276       	E		Internal            	100000  	<title>   	2025-07-03 14:03:47:000000	<description>	{args: "MC0: sysout.cc 1234 loop_all_instances_and_install_hooks SYS -10"}
274       	E		Internal            	100000  	<title>   	2025-07-03 14:03:47:000000	<description>	{args: "MC0: subscr.cc 183 subscr_add: Object pointer is NULL"}
270       	E		Internal            	100000  	<title>   	2025-07-03 14:03:47:000000	<description>	{args: "MC0: cab_startup.cpp 904 Unknown operating mode from Safety events 0 "}
268       	E		Internal            	100000  	<title>   	2025-07-03 14:03:47:000000	<description>	{args: "MC0: cab_startup.cpp 589 Startup of rapid or safety did not startup in time status = -42"}
267       	E		Internal            	100000  	<title>   	2025-07-03 14:03:47:000000	<description>	{args: "MC0: puscfg.cc 2318 moc_startup is NOT done"}
266       	E		Internal            	100000  	<title>   	2025-07-03 14:03:47:000000	<description>	{args: "MC0: rapid_startup.cc 489 puscfg_connect_to_motion -1"}
265       	E		Internal            	100000  	<title>   	2025-07-03 14:03:47:000000	<description>	{args: "MC0: puscfg.cc 2318 moc_startup is NOT done"}

Process log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	

Configuration log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	

RAPID log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	

RemoteService log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	
